Name,Indian rupee
7/23/1982,3427.74
7/26/1982,3377.85
7/27/1982,3344.1
7/28/1982,3306.47
7/29/1982,3243
7/30/1982,3265.37
8/2/1982,3347.1
8/3/1982,3381.78
8/4/1982,3341.48
8/5/1982,3355.28
8/6/1982,3329.53
8/9/1982,3243.9
8/10/1982,3228.38
8/11/1982,3195.86
8/12/1982,3201.88
8/13/1982,3237.5
8/16/1982,3205.68
8/17/1982,3230.55
8/18/1982,3351.66
8/19/1982,3396.44
8/20/1982,3613.13
8/23/1982,3608.28
8/24/1982,3870.56
8/25/1982,3725.41
8/26/1982,3965.69
8/27/1982,4076.92
8/30/1982,4076.92
8/31/1982,3933.3
9/1/1982,3885.25
9/2/1982,3893.5
9/3/1982,4374.67
9/6/1982,4409.67
9/7/1982,4692.06
9/8/1982,4518.58
9/9/1982,4583.69
9/10/1982,4333.37
9/13/1982,4258.06
9/14/1982,4356.16
9/15/1982,4290.6
9/16/1982,4309.9
9/17/1982,4291.6
9/20/1982,4100.47
9/21/1982,4101.08
9/22/1982,4248.1
9/23/1982,4220.04
9/24/1982,4232.99
9/27/1982,4005.71
9/28/1982,3975.71
9/29/1982,4012.98
9/30/1982,3824.8
10/1/1982,3855.66
10/4/1982,3801.15
10/5/1982,3760.92
10/6/1982,3895.39
10/7/1982,4025.02
10/8/1982,4237.43
10/11/1982,4155.74
10/12/1982,4236.11
10/13/1982,4145.72
10/14/1982,4335.69
10/15/1982,4228.15
10/18/1982,4115.09
10/19/1982,4247.34
10/20/1982,4172.76
10/21/1982,4199.52
10/22/1982,4126.15
10/25/1982,4093.58
10/26/1982,4052.73
10/27/1982,4106.37
10/28/1982,4075.5
10/29/1982,4108.4
11/1/1982,4128.78
11/2/1982,4189.02
11/3/1982,4217.53
11/4/1982,4158.64
11/5/1982,4132.58
11/8/1982,3994.41
11/9/1982,3993.32
11/10/1982,4007.61
11/11/1982,3972.61
11/12/1982,3911.24
11/15/1982,3968.26
11/16/1982,3972.5
11/17/1982,4071.31
11/18/1982,4007.4
11/19/1982,4055.21
11/22/1982,4049.74
11/23/1982,3963.3
11/24/1982,3953.91
11/25/1982,4046.96
11/26/1982,4020.11
11/29/1982,4159.68
11/30/1982,4127.57
12/1/1982,4248.24
12/2/1982,4198.99
12/3/1982,4249.3
12/6/1982,4283.75
12/7/1982,4412.15
12/8/1982,4381.05
12/9/1982,4286.46
12/10/1982,4267.92
12/13/1982,4252.99
12/14/1982,4358.26
12/15/1982,4234.91
12/16/1982,4267.7
12/17/1982,4291.12
12/20/1982,4260.87
12/21/1982,4312.16
12/22/1982,4354.9
12/23/1982,4345.18
12/24/1982,4329.7
12/27/1982,4329.7
12/28/1982,4329.7
12/29/1982,4307.2
12/30/1982,4321.81
12/31/1982,4320.02
1/3/1983,4320.02
1/4/1983,4334.15
1/5/1983,4393.94
1/6/1983,4456
1/7/1983,4390.96
1/10/1983,4611.82
1/11/1983,4784.73
1/12/1983,4726.51
1/13/1983,4797.19
1/14/1983,4722.73
1/17/1983,4837.61
1/18/1983,4781.93
1/19/1983,4870.57
1/20/1983,4788.12
1/21/1983,4846.29
1/24/1983,4693.7
1/25/1983,4748.68
1/26/1983,4770.12
1/27/1983,4863.27
1/28/1983,4865.53
1/31/1983,5003.53
2/1/1983,5017.47
2/2/1983,4952.47
2/3/1983,5012.12
2/4/1983,4980.56
2/7/1983,4830.03
2/8/1983,4900.26
2/9/1983,4847.31
2/10/1983,4877.3
2/11/1983,4962.24
2/14/1983,4944.82
2/15/1983,5042.87
2/16/1983,4983.64
2/17/1983,4981.6
2/18/1983,4951.71
2/21/1983,4991.03
2/22/1983,5025.72
2/23/1983,4752.89
2/24/1983,4691.6
2/25/1983,4660.36
2/28/1983,4197
3/1/1983,4118.89
3/2/1983,4270.07
3/3/1983,4271.38
3/4/1983,4124.78
3/7/1983,4144
3/8/1983,4218.48
3/9/1983,4191.66
3/10/1983,4280.66
3/11/1983,4223.81
3/14/1983,4288.41
3/15/1983,4327.53
3/16/1983,4221.73
3/17/1983,4143.84
3/18/1983,4204.93
3/21/1983,4143.6
3/22/1983,4193.71
3/23/1983,4142.92
3/24/1983,4109.68
3/25/1983,4098.21
3/28/1983,4124.25
3/29/1983,4123.12
3/30/1983,4152.72
3/31/1983,4104.31
4/1/1983,4104.31
4/4/1983,4104.31
4/5/1983,4213.06
4/6/1983,4207.17
4/7/1983,4265.46
4/8/1983,4220.17
4/11/1983,4229.39
4/12/1983,4277.4
4/13/1983,4269.48
4/14/1983,4329.58
4/15/1983,4333.5
4/18/1983,4369.01
4/19/1983,4417.28
4/20/1983,4335.77
4/21/1983,4404.18
4/22/1983,4358.9
4/25/1983,4376.82
4/26/1983,4333.11
4/27/1983,4365.48
4/28/1983,4278.22
4/29/1983,4286.38
5/2/1983,4286.38
5/3/1983,4306.7
5/4/1983,4349.89
5/5/1983,4337.77
5/6/1983,4302.86
5/9/1983,4358.33
5/10/1983,4388.41
5/11/1983,4421.97
5/12/1983,4365.87
5/13/1983,4370.84
5/16/1983,4389.22
5/17/1983,4369.97
5/18/1983,4420.58
5/19/1983,4403.43
5/20/1983,4394.6
5/23/1983,4327.22
5/24/1983,4353.89
5/25/1983,4339.65
5/26/1983,4363.14
5/27/1983,4343.47
5/30/1983,4343.47
5/31/1983,4391.75
6/1/1983,4163.54
6/2/1983,4134.73
6/3/1983,4174.32
6/6/1983,4111.05
6/7/1983,4031.85
6/8/1983,4034.3
6/9/1983,4036.03
6/10/1983,4139.28
6/13/1983,4169.33
6/14/1983,4184.66
6/15/1983,4071.61
6/16/1983,4125.13
